triceps.R triceps.L biceps.R biceps.L wrist.R wrist.L knee.R knee.L ankle.R ankle.L
1	0.98	0.6	0.71	0.55	0.55	0.38	0.25	0.22	0.2
0.98	1	0.62	0.73	0.57	0.57	0.4	0.28	0.21	0.19
0.6	0.62	1	0.88	0.61	0.56	0.48	0.42	0.19	0.18
0.71	0.73	0.88	1	0.68	0.68	0.53	0.47	0.23	0.21
0.55	0.57	0.61	0.68	1	0.97	0.33	0.27	0.16	0.13
0.55	0.57	0.56	0.68	0.97	1	0.33	0.27	0.19	0.16
0.38	0.4	0.48	0.53	0.33	0.33	1	0.9	0.4	0.39
0.25	0.28	0.42	0.47	0.27	0.27	0.9	1	0.41	0.4
0.22	0.21	0.19	0.23	0.16	0.19	0.4	0.41	1	0.94
0.2	0.19	0.18	0.21	0.13	0.16	0.39	0.4	0.94	1
